ep,utility,switch_penalty,rebuffering_penalty,no_switch,rebuffering_time,total_reward
55,137.0,68.8,74.25000000000038,29,14.850000000000076,-6.050000000000381
56,140.5,66.4,76.50000000000041,29,15.300000000000082,-2.400000000000418
57,131.8,69.3,67.50000000000028,31,13.500000000000057,-5.00000000000027
58,137.5,65.5,88.75000000000058,28,17.750000000000117,-16.750000000000583
59,138.7,64.7,70.25000000000033,29,14.050000000000065,3.749999999999659
60,138.3,67.8,90.50000000000061,31,18.100000000000122,-20.000000000000597
61,136.0,65.5,68.00000000000028,30,13.600000000000058,2.499999999999716
62,137.1,68.6,73.75000000000038,30,14.750000000000075,-5.250000000000384
63,135.6,68.0,83.00000000000051,30,16.6000000000001,-15.400000000000517
64,137.9,71.6,68.25000000000028,31,13.650000000000059,-1.9500000000002728
65,137.1,68.6,72.25000000000036,30,14.45000000000007,-3.7500000000003553
66,138.2,65.7,76.75000000000043,29,15.350000000000083,-4.2500000000004405
67,128.8,83.9,31.99999999999993,37,6.399999999999985,12.900000000000077
68,137.5,72.4,82.2500000000005,31,16.4500000000001,-17.150000000000503
69,137.1,73.2,76.75000000000043,32,15.350000000000083,-12.850000000000435
70,135.2,70.1,62.000000000000206,32,12.400000000000041,3.0999999999997883
71,135.6,65.7,81.25000000000048,29,16.250000000000096,-11.350000000000492
72,134.3,71.9,71.75000000000036,31,14.350000000000069,-9.35000000000035
73,132.5,75.5,65.50000000000026,33,13.100000000000051,-8.500000000000256
74,135.2,74.7,91.00000000000061,32,18.200000000000124,-30.500000000000625
75,135.2,70.1,76.75000000000043,30,15.350000000000083,-11.650000000000432
76,137.1,70.9,85.75000000000054,31,17.15000000000011,-19.55000000000055
77,136.0,70.1,80.75000000000047,32,16.150000000000095,-14.850000000000463
78,138.2,68.7,85.50000000000054,30,17.100000000000108,-16.000000000000554
79,139.3,64.2,73.25000000000037,27,14.650000000000073,1.849999999999639
80,141.2,65.0,93.75000000000065,28,18.75000000000013,-17.550000000000665
81,134.7,73.4,84.00000000000053,31,16.800000000000104,-22.700000000000543
82,138.7,62.4,65.75000000000026,28,13.150000000000052,10.549999999999727
83,136.6,71.9,80.50000000000047,31,16.100000000000094,-15.80000000000048
84,140.2,64.7,70.50000000000033,28,14.100000000000065,4.999999999999659
85,134.8,70.9,78.75000000000045,31,15.750000000000089,-14.850000000000449
86,132.9,72.4,91.75000000000063,31,18.350000000000126,-31.250000000000625
87,135.6,69.3,70.00000000000033,30,14.000000000000064,-3.7000000000003297
88,136.4,64.7,89.2500000000006,29,17.85000000000012,-17.550000000000594
89,137.9,67.0,70.75000000000034,29,14.150000000000066,0.14999999999966462
90,136.0,65.5,93.25000000000065,30,18.65000000000013,-22.750000000000654
91,141.2,60.4,64.75000000000024,26,12.950000000000049,16.04999999999974
92,135.5,66.5,69.25000000000031,30,13.850000000000062,-0.25000000000031264
93,137.5,66.5,86.75000000000055,30,17.35000000000011,-15.750000000000554
94,138.3,65.5,79.25000000000045,30,15.85000000000009,-6.450000000000443
95,137.9,71.6,60.500000000000185,31,12.100000000000037,5.799999999999827
96,137.5,61.9,91.00000000000061,28,18.200000000000124,-15.400000000000617
97,133.2,69.5,70.00000000000033,32,14.000000000000064,-6.300000000000338
98,136.4,69.3,78.25000000000044,31,15.650000000000087,-11.150000000000432
99,134.8,70.9,67.25000000000027,31,13.450000000000056,-3.3500000000002643
100,138.2,64.1,75.0000000000004,28,15.000000000000078,-0.9000000000004036
101,133.7,70.1,96.5000000000007,32,19.30000000000014,-32.9000000000007
